Date,Cases,Deaths,Recovered,Travel_history,Province,City,Latitude (generated),Longitude (generated),Active Cases
2020-02-26,1,0,0,China,Islamabad,Islamabad,33.7194,73.0741,1
2020-02-26,2,0,0,Iran/Taftan,Sindh,Karachi,24.8709,67.1145,2
2020-02-29,1,0,0,China,Islamabad,Islamabad,33.7194,73.0741,1
2020-02-29,1,0,0,Iran/Taftan,Sindh,Karachi,24.8709,67.1145,1
2020-03-02,1,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit,35.918473,74.3335,1
2020-03-06,0,0,1,Unknown,Sindh,Karachi,24.8709,67.1145,-1
2020-03-07,1,0,0,Iran/Taftan,Sindh,Karachi,24.8709,67.1145,1
2020-03-09,6,0,0,Syria,Sindh,Karachi,24.8709,67.1145,6
2020-03-09,3,0,0,UK,Sindh,Karachi,24.8709,67.1145,3
2020-03-10,1,0,0,Iran/Taftan,Sindh,Karachi,24.8709,67.1145,1
2020-03-10,1,0,0,Syria,Sindh,Hyderabad,25.3763,68.3432,1
2020-03-10,1,0,0,Iran/Taftan,Balochistan,Quetta,30.1802,66.9964,1
2020-03-11,1,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu,35.317806,75.552296,1
2020-03-11,0,0,1,Iran/Taftan,Sindh,Karachi,24.8709,67.1145,-1
2020-03-12,1,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit,35.918473,74.3335,1
2020-03-13,1,0,0,USA,Islamabad,Islamabad,33.7194,73.0741,1
2020-03-13,1,0,1,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,0
2020-03-13,7,0,0,Iran/Taftan,Balochistan,Taftan,28.959621,61.580755,7
2020-03-15,13,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,13
2020-03-15,4,0,0,Iran/Taftan,Sindh,Karachi,24.8709,67.1145,4
2020-03-15,1,0,0,UK,Punjab,Lahore,31.4978,74.3601,1
2020-03-15,15,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,31.832,70.902,15
2020-03-15,1,1,0,Unknown,Khyber Pakhtunkhwa,Mardan,34.198,72.045,0
2020-03-16,119,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,119
2020-03-16,26,0,0,Iran/Taftan,Sindh,Karachi,24.8709,67.1145,26
2020-03-16,2,0,0,Iran/Taftan,Sindh,Hyderabad,25.3763,68.3432,2
2020-03-16,1,0,0,Unknown,Punjab,Lahore,31.4978,74.3601,1
2020-03-16,1,0,1,Unknown,Islamabad,Islamabad,33.7194,73.0741,0
2020-03-16,1,0,0,Unknown,Khyber Pakhtunkhwa,Mansehra,34.333,73.2,1
2020-03-16,1,0,0,Unknown,Khyber Pakhtunkhwa,Mardan,34.198,72.045,1
2020-03-17,15,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,15
2020-03-17,24,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,24
2020-03-17,5,0,0,KSA,Sindh,Karachi,24.8709,67.1145,5
2020-03-17,3,0,0,Unknown,Punjab,Lahore,31.4978,74.3601,3
2020-03-17,1,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar,34.0114,71.5645,1
2020-03-17,1,0,0,UK,Khyber Pakhtunkhwa,Charsadda,34.145,71.731,1
2020-03-17,2,0,0,Iran/Taftan,Balochistan,Quetta,30.1802,66.9964,2
2020-03-17,1,0,0,Unknown,Islamabad,Islamabad,33.7194,73.0741,1
2020-03-18,2,0,0,Unknown,Islamabad,Islamabad,33.7194,73.0741,2
2020-03-18,5,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,30.056,70.634,5
2020-03-18,31,0,0,Iran/Taftan,Sindh,Sukkur,27.7221,68.8333,31
2020-03-18,5,0,0,Local - Social Contact,Sindh,Karachi,24.8709,67.1145,5
2020-03-18,10,0,0,Unknown,Gilgit-Baltistan,Gilgit,35.918473,74.3335,10
2020-03-18,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner,34.490828,72.518118,1
2020-03-18,1,1,0,KSA,Khyber Pakhtunkhwa,Mardan,34.198,72.045,0
